id,noise,fiber,,rawPath,channel,sizeX,sizeY,sizeX_nm,sizeY_nm,user,imPath
1,hl,,,Data/capture/Anna/PEDOT_LiBTI.001,ZSensor,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/1.tif
2,hl,,,Data/capture/Anna/PEDOT_LiBTI.001,AmplitudeError,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/2.tif
3,hl,,,Data/capture/Anna/PEDOT_LiBTI.001,Phase,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/3.tif
4,hl,,,Data/capture/Anna/PEDOT_LiBTI.003,ZSensor,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/4.tif
5,hl,,,Data/capture/Anna/PEDOT_LiBTI.003,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/5.tif
6,hl,,,Data/capture/Anna/PEDOT_LiBTI.003,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/6.tif
7,,,,Data/capture/Anna/PEDOT_LiBTI.004,ZSensor,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/7.tif
8,,,,Data/capture/Anna/PEDOT_LiBTI.004,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/8.tif
9,,,,Data/capture/Anna/PEDOT_LiBTI.004,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/9.tif
10,hl,,,Data/capture/Anna/PEDOT_TBA.000,ZSensor,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/10.tif
11,,,,Data/capture/Anna/PEDOT_TBA.000,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/11.tif
12,hl,,,Data/capture/Anna/PEDOT_TBA.000,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/12.tif
13,,,,Data/capture/Anna/PEDOT_TBA.001,ZSensor,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/13.tif
14,,,,Data/capture/Anna/PEDOT_TBA.001,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/14.tif
15,hl,,,Data/capture/Anna/PEDOT_TBA.001,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/15.tif
16,,,,Data/capture/Anna/PEDOT_TBA_center.002,ZSensor,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/16.tif
17,,,,Data/capture/Anna/PEDOT_TBA_center.002,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/17.tif
18,,,,Data/capture/Anna/PEDOT_TBA_center.002,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/18.tif
19,,,,Data/capture/Bailey/Blade coated CNCs/0pt5CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/19.tif
20,n,,,Data/capture/Bailey/Blade coated CNCs/0pt5CNCs.001,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/20.tif
21,,,,Data/capture/Bailey/Blade coated CNCs/0pt5CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/21.tif
22,,,,Data/capture/Bailey/Blade coated CNCs/10wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/22.tif
23,n,,,Data/capture/Bailey/Blade coated CNCs/10wt%CNCs.001,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/23.tif
24,,,,Data/capture/Bailey/Blade coated CNCs/10wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/24.tif
25,,,,Data/capture/Bailey/Blade coated CNCs/1pt5CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/25.tif
26,n,,,Data/capture/Bailey/Blade coated CNCs/1pt5CNCs.001,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/26.tif
27,,,,Data/capture/Bailey/Blade coated CNCs/1pt5CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/27.tif
28,,,,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,ZSensor,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/28.tif
29,,,,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/29.tif
30,vg,,,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/30.tif
31,,,,Data/capture/Bailey/Blade coated CNCs/4wt%CNCs.003,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/31.tif
32,n,,,Data/capture/Bailey/Blade coated CNCs/4wt%CNCs.003,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/32.tif
33,,,,Data/capture/Bailey/Blade coated CNCs/4wt%CNCs.003,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/33.tif
34,,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,ZSensor,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/34.tif
35,,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/35.tif
36,vg,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/36.tif
37,,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,ZSensor,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/37.tif
38,,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/38.tif
39,vg,,,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/39.tif
40,,,,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,ZSensor,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/40.tif
41,,,,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/41.tif
42,,,,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/42.tif
43,,,,Data/capture/Bailey/Blade coated CNCs/6wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/43.tif
44,n,,,Data/capture/Bailey/Blade coated CNCs/6wt%CNCs.001,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/44.tif
45,,,,Data/capture/Bailey/Blade coated CNCs/6wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/45.tif
46,,,,Data/capture/Bailey/Blade coated CNCs/8wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/46.tif
47,n,,,Data/capture/Bailey/Blade coated CNCs/8wt%CNCs.001,DeflectionActual,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/47.tif
48,,,,Data/capture/Bailey/Blade coated CNCs/8wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/48.tif
49,,,,Data/capture/Bailey/0wt_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/49.tif
50,,,,Data/capture/Bailey/0wt_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/50.tif
51,,f,,Data/capture/Bailey/0wt_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/51.tif
52,,,,Data/capture/Bailey/0wt_3_07a.002,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/52.tif
