id,id,noise,fiber,rawPath,channel,sizeX,sizeY,sizeX_nm,sizeY_nm,user,imPath
1,1,n,n,Data/capture/Anna/PEDOT_LiBTI.001,Height,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/1.tif
2,2,n,n,Data/capture/Anna/PEDOT_LiBTI.001,AmplitudeError,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/2.tif
3,3,n,n,Data/capture/Anna/PEDOT_LiBTI.001,Phase,256,256,5000,5000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/3.tif
4,4,n,n,Data/capture/Anna/PEDOT_LiBTI.003,Height,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/4.tif
5,5,n,n,Data/capture/Anna/PEDOT_LiBTI.003,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/5.tif
6,6,n,n,Data/capture/Anna/PEDOT_LiBTI.003,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/6.tif
7,7,c,n,Data/capture/Anna/PEDOT_LiBTI.004,Height,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/7.tif
8,8,c,n,Data/capture/Anna/PEDOT_LiBTI.004,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/8.tif
9,9,c,n,Data/capture/Anna/PEDOT_LiBTI.004,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/9.tif
10,10,n,n,Data/capture/Anna/PEDOT_TBA.000,Height,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/10.tif
11,11,c,n,Data/capture/Anna/PEDOT_TBA.000,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/11.tif
12,12,n,n,Data/capture/Anna/PEDOT_TBA.000,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/12.tif
13,13,c,n,Data/capture/Anna/PEDOT_TBA.001,Height,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/13.tif
14,14,c,n,Data/capture/Anna/PEDOT_TBA.001,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/14.tif
15,15,n,n,Data/capture/Anna/PEDOT_TBA.001,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/15.tif
16,16,c,n,Data/capture/Anna/PEDOT_TBA_center.002,Height,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/16.tif
17,17,c,n,Data/capture/Anna/PEDOT_TBA_center.002,AmplitudeError,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/17.tif
18,18,c,n,Data/capture/Anna/PEDOT_TBA_center.002,Phase,256,256,15000,15000,Anna,/Users/Imperssonator/CC/uhcs/data/afm/18.tif
19,19,c,n,Data/capture/Bailey/Blade coated CNCs/0pt5CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/19.tif
21,21,c,n,Data/capture/Bailey/Blade coated CNCs/0pt5CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/21.tif
22,22,c,n,Data/capture/Bailey/Blade coated CNCs/10wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/22.tif
24,24,c,n,Data/capture/Bailey/Blade coated CNCs/10wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/24.tif
25,25,c,n,Data/capture/Bailey/Blade coated CNCs/1pt5CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/25.tif
27,27,c,n,Data/capture/Bailey/Blade coated CNCs/1pt5CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/27.tif
28,28,c,n,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/28.tif
29,29,c,n,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/29.tif
30,30,n,n,Data/capture/Bailey/Blade coated CNCs/2wt%CNCs.000,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/30.tif
31,31,c,n,Data/capture/Bailey/Blade coated CNCs/4wt%CNCs.003,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/31.tif
33,33,c,n,Data/capture/Bailey/Blade coated CNCs/4wt%CNCs.003,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/33.tif
34,34,c,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/34.tif
35,35,c,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/35.tif
36,36,n,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/36.tif
37,37,c,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/37.tif
38,38,c,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/38.tif
39,39,n,n,Data/capture/Bailey/Blade coated CNCs/5wt%CNCs.002,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/39.tif
40,40,c,n,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/40.tif
41,41,c,n,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,AmplitudeError,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/41.tif
42,42,c,n,Data/capture/Bailey/Blade coated CNCs/6pt5wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/42.tif
43,43,c,n,Data/capture/Bailey/Blade coated CNCs/6wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/43.tif
45,45,c,n,Data/capture/Bailey/Blade coated CNCs/6wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/45.tif
46,46,c,n,Data/capture/Bailey/Blade coated CNCs/8wt%CNCs.001,Height,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/46.tif
48,48,c,n,Data/capture/Bailey/Blade coated CNCs/8wt%CNCs.001,Phase,512,512,2000,2000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/48.tif
49,49,c,n,Data/capture/Bailey/0wt_3_07a.001,Height,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/49.tif
50,50,c,n,Data/capture/Bailey/0wt_3_07a.001,AmplitudeError,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/50.tif
51,51,c,f,Data/capture/Bailey/0wt_3_07a.001,Phase,512,512,5000,5000,Bailey,/Users/Imperssonator/CC/uhcs/data/afm/51.tif
